ft_process_id,ft_process_step,ft_topic_id,ft_topic
18044,2. behandling,5806,Forslag til lov om ændring af lov om Statens Istjeneste. (Nyordning af Statens Istjeneste og indførelse af beredskab for isbrydning i danske farvande).
17009,3. behandling,5463,Forslag til lov om ændring af forskellige lovbestemmelser om obligatorisk digital kommunikation m.v. (Obligatorisk digital kommunikation og tilpasninger som følge af ressortoverførsel m.v.).
18045,3. behandling,5806,Forslag til lov om ændring af lov om Statens Istjeneste. (Nyordning af Statens Istjeneste og indførelse af beredskab for isbrydning i danske farvande).
16817,3. behandling,5448,Forslag til lov om ændring af færdselsloven. (Forsøgsordning vedrørende kommuners håndhævelse af bestemmelser om cykelparkering).
16903,3. behandling,5455,"Forslag til lov om ændring af retsplejeloven, straffeloven og lov om elektroniske kommunikationsnet og -tjenester. (Revision af reglerne om forkyndelse m.v.)."
18370,3. behandling,5904,Forslag til lov om akutjob og jobpræmie til arbejdsgivere.
16878,3. behandling,5453,"Forslag til lov om ændring af lov om renter ved forsinket betaling m.v., lov om erstatningsansvar og lov om forsikringsaftaler. (Gennemførelse af direktiv om bekæmpelse af forsinket betaling i handelstransaktioner og ændring af rentesatsen i visse formueretlige love)."
17549,3. behandling,5664,Forslag til lov om ændring af lov om landbrugsejendomme og jordfordelingsloven. (Nedlæggelse af jordbrugskommissionerne og oprettelse af nye jordfordelingskommissioner m.v.).
17562,3. behandling,5665,Forslag til lov om ændring af lov om journal over brug af plantebeskyttelsesmidler og eftersyn af udstyr til udbringning af plantebeskyttelsesmidler i jordbruget. (Behandling af sprøjteoplysninger m.v.).
16892,3. behandling,5454,Forslag til lov om ændring af lov om kreditaftaler. (Gennemførelse af ændringsdirektiv om supplerende antagelser til brug ved beregningen af de årlige omkostninger i procent m.v.).
16779,3. behandling,5445,Forslag til lov om ændring af lov om kommunernes styrelse og regionsloven. (Afskaffelse af kommunale kvalitetskontrakter samt kommunale og regionale udbudsstrategier).
16853,3. behandling,5451,"Forslag til lov om ændring af lov om behandling af personoplysninger, lov om udgivelsen af en Lovtidende og en Ministerialtidende, lov om hittegods og lov om skyldneres ret til at frigøre sig ved deponering. (Overførsel af personoplysninger til tredjelande, afskaffelse af Ministerialtidende, bagatelgrænse for politiets behandling af hittegods m.v.)."
17604,3. behandling,5668,"Forslag til lov om ændring af lov om ansættelse i stillinger i folkekirken m.v. og lov om folkekirkens økonomi. (Ændret procedure ved besættelse af provstestillinger, høringsret til provstiudvalget ved besættelse af stillinger som provst, udvidelse af provstiudvalgets sammensætning og ændring af provstiudvalgets valg- og funktionsperiode)."
16729,3. behandling,5441,"Forslag til lov om ændring af lov om Det Centrale Personregister og sundhedsloven. (Delegation af opgaver vedrørende registrering af indrejse og udstedelse af sundhedskort m.v. i forbindelse med arbejdet i et International Citizen Service, ændring og præcisering af reglerne for bopælsregistrering af børn, ændring af reglerne for videregivelse af oplysninger fra CPR til visse pensions- og forsikringsselskaber m.v.)."
17966,2. behandling,5799,Forslag til lov om indfødsrets meddelelse.
16964,2. behandling,5460,"Forslag til lov om ændring af lov om den selvstændige offentlige virksomhed DSB og om DSB S-tog A/S samt fusionsskatteloven. (Fremgangsmåde ved anskaffelse af rullende materiel, generel garantistillelse, bestyrelsessammensætning, mulighed for DSB, Naviair og Energinet.dk til at fusionere skattefrit med helejede datterselskaber, konsekvensændringer som følge af selskabsloven m.v.)."
18300,2. behandling,5900,Forslag til lov om afgift af husstandsomdelte reklamer (reklameafgiftsloven).
17497,3. behandling,5659,"Forslag til lov om ændring af lov om kommunernes styrelse, regionsloven, lov om valg til Folketinget, lov om valg af danske medlemmer til Europa-Parlamentet og lov om kommunale og regionale valg. (Særligt vederlag til næstformand i udvalg, diæter ved valg og folkeafstemninger samt frihed til senere frist for ansøgning om afstemning i hjemmet m.v.)."
18248,2. behandling,5896,Forslag til lov om ændring af færdselsloven og lov om fragtaftaler ved international vejtransport. (Indførelse af gebyr i forbindelse med chaufføruddannelsen inden for vejtransport af farligt gods og indførelse af mulighed for anvendelse af elektroniske fragtbreve m.v.).
16754,3. behandling,5443,Forslag til lov om ophævelse af lov om fremme af frit valg for borgerne ved levering af serviceydelser i kommuner.
16742,3. behandling,5442,"Forslag til lov om ændring af lov om bygningsfredning og bevaring af bygninger og bymiljøer. (Mulighed for digital bekendtgørelse, bemyndigelse til, at bygningsarbejder kan ske efter skriftlig underretning m.v.)."
20338,Behandling,6480,"En stabilisering af ØMU'en er i dansk interesse og bør være åben og transparent i forhold til ikkeeurolande og respektere det indre markeds integritet. Danmark indgår konstruktivt i drøftelserne og afvejer fordele og ulemper ved forslag, der fremlægges. Regeringen opfordres til at drøfte køreplan med partierne og fastlægge Danmarks prioriteter."
19005,3. behandling,6077,Forslag til lov om indgåelse af tillægsaftaler til den dansk-grønlandske dobbeltbeskatningsaftale.
18016,3. behandling,5803,Forslag til lov om ændring af dagtilbudsloven. (Ophævelse af kommunal pligt til at udarbejde en plan for sprogvurdering m.v.).
17967,3. behandling,5799,Forslag til lov om indfødsrets meddelelse.
18249,3. behandling,5896,Forslag til lov om ændring af færdselsloven og lov om fragtaftaler ved international vejtransport. (Indførelse af gebyr i forbindelse med chaufføruddannelsen inden for vejtransport af farligt gods og indførelse af mulighed for anvendelse af elektroniske fragtbreve m.v.).
17940,2. behandling,5797,"Forslag til lov om ændring af konkurrenceloven og straffeloven. (Indførelse af fængselsstraf i kartelsager, forhøjelse af bødeniveauet, straflempelse, ændrede sagsprocesser m.v.)."
17992,3. behandling,5801,Forslag til lov om ændring af lov om offentlige forskningsinstitutioners kommercielle aktiviteter og samarbejde med fonde. (Mulighed for universiteterne for at formidle visse boliger og studielån i forbindelse med internationale uddannelsessamarbejder).
17510,3. behandling,5660,"Forslag til lov om ændring af lov om erhvervsakademiuddannelser og professionsbacheloruddannelser, lov om professionshøjskoler for videregående uddannelser og lov om Danmarks Evalueringsinstitut og om ophævelse af lov om uddannelsen til professionsbachelor som lærer i folkeskolen. (Ændringer som følge af ny læreruddannelse)."
17979,3. behandling,5800,"Forslag til lov om ændring af forskellige  lovbestemmelser om sammenlægning og spaltning af uddannelsesinstitutioner m.v. og om ophævelse af lov om Det Informationsvidenskabelige Akademi. (Mulighed for sammenlægning og spaltning af universiteter, uddannelses- og forskningsinstitutioner m.v.)."
18855,3. behandling,6065,Forslag til lov om ændring af lov om frikommuner og lov om naturbeskyttelse. (Etablering af yderligere forsøgsmuligheder for frikommunerne).
18274,3. behandling,5898,"Forslag til lov om ændring af aktieavancebeskatningsloven, ligningsloven, lønsumsafgiftsloven og forskellige andre love. (Skattefritagelse af avancer af selskabers unoterede porteføljeaktier og forhøjelse af lønsumsafgiften for den finansielle sektor)."
16928,3. behandling,5457,"Forslag til lov om ændring af kildeskatteloven og selskabsskatteloven. (Omgåelse af udbyttebeskatning, gennemstrømningsselskaber og ledelsens sæde)."
18993,3. behandling,6076,Forslag til lov om indgåelse af dobbeltbeskatningsoverenskomst mellem Danmark og Tjekkiet.
17022,3. behandling,5464,"Forslag til lov om ændring af selskabsloven, årsregnskabsloven og forskellige andre love. (Indførelse af regler om måltal og politikker for den kønsmæssige sammensætning i det øverste ledelsesorgan og for afrapportering herom)."
16997,3. behandling,5462,Forslag til lov om ændring af lov om ligestilling af kvinder og mænd. (Måltal og politik for den kønsmæssige sammensætning i bestyrelser m.v. for statslige institutioner og virksomheder m.v.).
18842,3. behandling,6064,Forslag til lov om ændring af lov om elforsyning og lov om naturgasforsyning. (Udstedelse af forsyningspligtbevillinger).
18955,2. behandling,6073,Forslag til lov om ændring af færdselsloven. (Sikkerhed ved reparation af havarerede køretøjer på motorvej m.v.).
18325,2. behandling,5901,"Forslag til lov om ændring af lov om en aktiv beskæftigelsesindsats, lov om aktiv socialpolitik, lov om social pension og forskellige andre love. (Reform af førtidspension og fleksjob, herunder indførelse af ressourceforløb, rehabiliteringsteam, fleksløntilskud m.v.)."
18301,3. behandling,5900,Forslag til lov om afgift af husstandsomdelte reklamer (reklameafgiftsloven).
18358,3. behandling,5902,Forslag til lov om ændring af lov om afgift af svovl. (Bundfradrag i svovlafgiften).
18287,3. behandling,5899,"Forslag til lov om ændring af lov om afgift af elektricitet og forskellige andre love og om ophævelse af lov om ændring af lov om afgift af affald og råstoffer. (Godtgørelse af elafgift for el forbrugt til opladning af batterier til registrerede elbiler, lempelse vedrørende komfortkøling, dagsbeviser for varebiler samt teknisk justering af energiafgifter m.v. og ophævelse af reglerne om fritagelse for afgift af visse typer af affald fra egen cementproduktion)."
18576,3. behandling,5976,Forslag til lov om ændring af lov om byfornyelse og udvikling af byer. (Ændrede fordelingsprincipper for områdefornyelse med særligt sigte på mindre byer og landdistrikter m.v.).
19429,3. behandling,6168,"Forslag til lov om ændring af lov om fremme af vedvarende energi, lov om elforsyning, lov om afgift af elektricitet og ligningsloven. (Støtte til solcelleanlæg og øvrige små vedvarende energi-anlæg m.v.)."
16965,3. behandling,5460,"Forslag til lov om ændring af lov om den selvstændige offentlige virksomhed DSB og om DSB S-tog A/S samt fusionsskatteloven. (Fremgangsmåde ved anskaffelse af rullende materiel, generel garantistillelse, bestyrelsessammensætning, mulighed for DSB, Naviair og Energinet.dk til at fusionere skattefrit med helejede datterselskaber, konsekvensændringer som følge af selskabsloven m.v.)."
18060,3. behandling,5807,Forslag til lov om ændring af lov om ændring af lov om folkekirkens økonomi. (Ændring af revisionsklausul).
16766,3. behandling,5444,Forslag til lov om ændring af museumsloven. (Udvikling af museumsområdet m.v.).
18822,3. behandling,6063,Forslag til lov om ændring af lov om social service og sundhedsloven. (Samling af høreapparatområdet i sundhedsloven og ændret tilskud til høreapparater).
17953,3. behandling,5798,"Forslag til lov om ændring af søloven, lov om tillæg til strandingsloven af 10. april 1895, lov om skibes besætning og forskellige andre love samt om ophævelse af lov om registreringsafgift for fritidsfartøjer. (Gennemførelse af vragfjernelseskonventionen, tilpasninger som følge af passagerrettighedsforordningen, gebyr for sønærings- og kvalifikationsbeviser, indførelse af en årlig afgift for skibe optaget i skibsregistrene og sanktionering af skibsførerens forpligtelse til at redde de ombordværende m.v.)."
17574,3. behandling,5666,Forslag til lov om ændring af sundhedsloven og lov om klage- og erstatningsadgang inden for sundhedsvæsenet. (Ret til hurtig udredning i sygehusvæsenet og differentieret ret til udvidet frit sygehusvalg m.v.).
22127,2. del af 3. behandling,6647,Forslag til finanslov for finansåret 2013.
18326,3. behandling,5901,"Forslag til lov om ændring af lov om en aktiv beskæftigelsesindsats, lov om aktiv socialpolitik, lov om social pension og forskellige andre love. (Reform af førtidspension og fleksjob, herunder indførelse af ressourceforløb, rehabiliteringsteam, fleksløntilskud m.v.)."
19261,3. behandling,6139,"Forslag til lov om uddannelsesordning for ledige, som har opbrugt deres dagpengeret."
19293,3. behandling,6144,"Forslag til lov om ændring af lov om sygedagpenge. (Forhøjelse af virksomhedernes finansieringsbidrag ved forsikringsordningen for mindre, private arbejsgivere)."
19319,3. behandling,6146,"Forslag til lov om ændring af lov om seniorjob og lov om arbejdsløshedsforsikring m.v. (Ret til seniorjob til medlemmer, der er født i perioden fra den 1. juli 1955 til og med den 31. december 1957)."
18563,3. behandling,5974,Forslag til lov om ændring af retsplejelov for Grønland. (Ændring af retskredsene i Grønland m.v.).
18261,3. behandling,5897,"Forslag til lov om ændring af retsplejeloven,  lov om retsafgifter, designloven, varemærkeloven, markedsføringsloven og lov om forbud til beskyttelse af forbrugernes interesser. (Midlertidige afgørelser om forbud og påbud)."
18956,3. behandling,6073,Forslag til lov om ændring af færdselsloven. (Sikkerhed ved reparation af havarerede køretøjer på motorvej m.v.).
19398,3. behandling,6160,"Forslag til lov om ændring af selskabsskatteloven, lov om afgift af lønsum m.v., afskrivningsloven, lov om afgift af lystfartøjsforsikringer og forskellige andre love. (Forhøjelse af visse lønsumsafgiftssatser, nedsættelse af afskrivningssatsen for store vindmøller, inddragelse af CO2-kvoter under CFC-beskatningen, forhøjelse af afgiften af kaskoforsikringer for lystfartøjer m.v.)."
19384,3. behandling,6158,"Forslag til lov om ophævelse af fedtafgiftsloven og om ændring af lov om afgift af elektricitet, ligningsloven, personskatteloven med flere love. (Ophævelse af fedtafgiftsloven, nedsættelse af elvarmeafgiften, lempeligere beskatning af udenlandsk indkomst, forhøjelse af bundskatten og nedsættelse af personfradraget m.v. – afgifts- og konkurrencepakken)."
17941,3. behandling,5797,"Forslag til lov om ændring af konkurrenceloven og straffeloven. (Indførelse af fængselsstraf i kartelsager, forhøjelse af bødeniveauet, straflempelse, ændrede sagsprocesser m.v.)."
18810,3. behandling,6062,Forslag til lov om udbyttedeling ved anvendelse af genetiske ressourcer.
18796,3. behandling,6061,"Forslag til lov om ændring af lov om Kort- og Matrikelstyrelsen og forskellige andre love. (Fri anvendelse af visse data, varetagelse af søopmåling og ændring af styrelsens navn)."
19227,3. behandling,6136,Forslag til lov om ændring af lov om aktiv socialpolitik. (Tilskud til tandpleje og hjælp til udsættelsestruede lejere).
20236,2. (sidste) behandling,6436,Forslag til folketingsbeslutning om ændring af forretningsorden for Folketinget. (Ændring af ordning for medspørgere i spørgetiden m.v.).
19279,3. behandling,6142,"Forslag til lov om ændring af lov om en aktiv beskæftigelsesindsats. (Midlertidig forhøjelse af jobrotationsydelsen til private arbejdsgivere, individuel aftale om mentorstøtte og midlertidig sænkelse af driftsloftet over de kommunale aktiveringsudgifter)."
19305,3. behandling,6145,Forslag til lov om ændring af lov om Forebyggelsesfonden. (Ændring og udvidelse af fondens formål m.v.).
18590,3. behandling,5977,"Forslag til lov om ændring af lov om arbejdsmiljø i Grønland. (Begrænsning af arbejdsgiverens kriminalretlige ansvar, skærpelse af det kriminalretlige ansvar, indførelse af koordinatoruddannelse m.v.)."
18931,3. behandling,6071,Forslag til lov om ophævelse af lov om hjemmeservice og ændring af ligningsloven. (Ophævelse af hjemmeserviceordningen).
18881,3. behandling,6067,"Forslag til lov om ændring af lov om finansiel virksomhed, lov om værdipapirhandel m.v., lov om betalingstjenester og elektroniske penge og forskellige andre love. (Videregivelse af oplysninger til anklagemyndighed og politi, oprettelse af Det Systemiske Risikoråd, sammenlægning af Det Finansielle Virksomhedsråd og Fondsrådet, shortselling, ny tilgang til håndhævelse af solvenskrav og etablering af tilsyn med referencerenter m.v.)."
19337,3. behandling,6150,Forslag til lov om ændring af lov om registrering af køretøjer og registreringsafgiftsloven. (Betaling for registrering af køretøjer og justering af godtgørelsen af registreringsafgift ved eksport af køretøjer).
18895,3. behandling,6068,Forslag til lov om ændring af lov om tolkning til personer med hørehandicap. (Bemyndigelse til at udstede regler om bevillingsbegrænset tolkning og ændrede regler for udpegning af medlemmer af Tolkerådet).
19214,3. behandling,6135,Forslag til lov om ændring af lov om børnetilskud og forskudsvis udbetaling af børnebidrag og lov om en børne- og ungeydelse. (Særligt børnetilskud til selvvalgte eneforsørgere og tilpasning af optjeningsprincippet for ret til børne- og ungeydelse og børnetilskud).
22128,1. del af 3. behandling ,6647,Forslag til finanslov for finansåret 2013.
5389,Behandling,1730,"Folketinget konstaterer, at der siden folketingsvalget er taget en række tiltag, der modvirker krisen, såsom forbedret kommunal udligning, herunder 15 mio. kr. til forbedret færgedrift for småøerne, jobskabelse og styrket fokus på landdistrikternes vækstpotentiale, modernisering af planloven, hurtigere bredbånd, forbedret boliglovgivning, bl.a. i forhold til udlejning af dårlige boliger og nedrivning af faldefærdige huse, og en trafikaftale med forbedringer for landdistrikterne.

I lyset af den teknologiske udvikling, herunder mulighederne for virtuel virksomhedsdrift, satellitkontorer og hjemmearbejdspladser, vil regeringen gennemføre en opdatering af analysen om udflytning af statslige arbejdspladser fra daværende Erhvervs- og Boligstyrelsen 2002, hvor der lægges særlig vægt på at vurdere de dele af rapporten, hvor forudsætningerne synes ændret. Analysen skal være gennemført inden udgangen af 2013.

Folketinget konstaterer således, at etableringen af et særligt ministerium for landdistrikter har sat større fokus på landdistrikternes særlige problemer, og Folketinget opfordrer regeringen til fortsat at følge udviklingen i landdistrikterne."
5531,Behandling,1769,"Folketinget konstaterer, at andelen af offentlige opgaver, som konkurrenceudsættes i kommuner og regioner, er stagneret, og at konkurrenceudsættelse kan være et gode for både det offentlige og det private for at finde den løsning, der er bedst og billigst.

Folketinget finder, at en stram rammestyring af den offentlige økonomi er nødvendig, men ikke må medføre bureaukrati. Kommuner og regioner må i videst muligt omfang selv have frihed til og bære ansvaret for, at opgaverne løses bedst og billigst – herunder gennem øget brug af konkurrenceudsættelse, hvor det er den bedste og billigste løsning.

Folketinget opfordrer regeringen til at undersøge, hvorvidt der er lovgivningsmæssige barrierer for, at den leverandør, der er bedst og billigst, har mulighed for at byde på opgaven, og om der er andre lovgivningsmæssige barrierer for konkurrenceudsættelse også i de tilfælde, hvor det ville give den bedste og billigste løsning."
5586,Behandling,1797,"Danmarks interesser og værdier varetages bedst gennem et stærkt europæisk samarbejde med Danmark som et centralt medlem.

Et lille land med en åben økonomi bliver dybt påvirket af udviklingen i resten af Europa og verden. EU er vores stærkeste platform for medindflydelse herpå. EU er stærkest, når alle medlemslande optræder sammen. Det bør derfor altid være udgangspunktet, men fleksibelt samarbejde kan være en sidste udvej til at sikre nødvendige fremskridt.

Fleksibelt samarbejde bør have et afgrænset formål og respektere EU-samarbejdets kerneområder, herunder særligt de fælles værdier og det indre marked.

Danmark lægger vægt på, at et fleksibelt samarbejde respekterer de fælles institutioners integritet, og understreger, at alle lande skal have mulighed for at deltage, såfremt de ønsker det og opfylder kriterierne.

I en situation, hvor Danmark ikke ønsker at deltage i et konkret fleksibelt samarbejde, vil vi i tråd med bl.a. Edinburghafgørelsen dog ikke modsætte os, at andre går videre."
20441,3. behandling,6510,Forslag til lov om ændring af lov om lægemidler og lov om apoteksvirksomhed. (Differentierede og øgede afgifter ved forhandling af lægemidler til produktionsdyr til finansiering af initiativer til styrkelse af fødevaresikkerhed og dyrevelfærd).
20162,3. behandling,6430,Forslag til lov om ændring af lov om betalingsregler for spildevandsforsyningsselskaber m.v. og lov om vandløb. (Spildevandsforsyningsselskabers opkrævning af bidrag til selskabernes medfinansiering af kommunale og private projekter vedrørende tag- og overfladevand).
20453,3. behandling,6511,Forslag til lov om ændring af sundhedsloven. (Økonomisk støtte til tandproteser til personer med epilepsi).
20418,3. behandling,6508,"Forslag til lov om ændring af lov om afgift af elektricitet, lov om afgift af naturgas og bygas, lov om afgift af stenkul, brunkul og koks m.v. og lov om energiafgift af mineralolieprodukter m.v. (Forsyningssikkerhedsafgift på fossile brændsler og afgiftslempelse for procesenergi)."
19631,3. behandling,6236,"Forslag til lov om ændring af lov om kundgørelse af love, anordninger og bekendtgørelser på Færøerne. (Ændringer i forbindelse med overgang til elektronisk kundgørelse af retsforskrifter på Færøerne)."
6188,Behandling,1991,"Folketinget tager ministerens redegørelse til efterretning og understreger vigtigheden af, at der fortsat er fokus på at nedbringe anvendelsen af tvang på de psykiatriske afdelinger, herunder især varigheden af de enkelte bæltefikseringer.

Folketinget finder det afgørende, at der alene anvendes tvang i de tilfælde, hvor alle andre muligheder er udtømt.

Folketinget lægger endvidere vægt på, at patienter har haft mulighed for at tilkendegive, hvilken form for tvang der af patienten opleves som mindst indgribende, hvis anvendelse af tvang bliver uundgåelig.

Folketinget opfordrer regeringen til at fortsætte indsatsen for at nedbringe anvendelsen af tvang i psykiatrien og opfordrer regeringen til på baggrund af anbefalingerne fra regeringens udvalg om psykiatri at fremlægge en handlingsplan for psykiatrien, der omfatter spørgsmålet om brugen af måltal i det fortsatte arbejde med at få nedbragt brugen af tvang."
20284,3. behandling,6455,Forslag til lov om ændring af lov om valg til Folketinget. (Mere fleksible regler for befordringsgodtgørelse til Folketingets medlemmer).
6602,Behandling,2087,"Folketinget pålægger statsministeren at trække sit brev til Folketingets formand af 28. januar 2013 tilbage og stille regeringens ministre til rådighed for besvarelser af de spørgsmål, som Folketingets medlemmer finder relevante i forhold til diskussionen om rigsfællesskabet, herunder Grønland."
6568,Behandling,2073,"Det er afgørende for borgernes retssikkerhed, at lovgivningen efterleves, når myndighederne træffer afgørelse på det sociale område.

Folketinget understreger, at hjælpen skal tilrettelægges efter en konkret, individuel behovsvurdering. Retssikkerheden skal sikres gennem et effektivt klagesystem.

Folketinget konstaterer, at det kommunale tilsyn kan give de ansvarlige medlemmer af kommunalbestyrelsen dagbøder, hvis kommunen ikke vil efterleve en endelig afgørelse truffet af de sociale klageinstanser.

Folketinget opfordrer regeringen til at fortsætte indsatserne for at styrke sagsbehandlingskvaliteten i kommunerne samt straks gennemføre en undersøgelse af kommunernes efterlevelse af ankemyndighedernes afgørelser, herunder rettidigheden heraf.

Når undersøgelsen er gennemført, vil social- og integrationsministeren forelægge denne for Folketingets partier med henblik på drøftelse heraf.

Folketinget erindrer om aftalen om forbedring af klagesystemet. Det er Folketingets forventning, at der kommer kortere og mere ensartet sagsbehandling, når etablering af et nyt ankecenter i Ankestyrelsen er gennemført.

Folketinget imødeser en undersøgelse af kommunernes anvendelse af serviceniveauer og konkrete, individuelle vurderinger."
17782,2. (sidste) behandling,5734,Forslag til folketingsbeslutning om forberedelse af en dansk sproglov.
20180,3. behandling,6431,Forslag til lov om ændring af lov om fond til grøn omstilling og erhvervsmæssig fornyelse. (Omdannelse af Fornyelsesfonden til Markedsmodningsfonden m.v.).
18602,3. behandling,5978,Forslag til lov om indretning m.v. af visse produkter.
19066,2. (sidste) behandling,6090,Forslag til folketingsbeslutning om at genindføre starthjælp og introduktionsydelse.
5254,3. behandling,1677,"Forslag til lov om ændring af lov om arbejdsmiljø og om ophævelse af lov om arbejdsmiljøcertifikat til virksomheder. (Præcisering af anvendelsesområdet, hvad angår psykisk arbejdsmiljø og overførelse af reglerne om certifikat til lov om arbejdsmiljø m.v.)."
5968,3. behandling,1930,"Forslag til lov om ændring af lov om en aktiv beskæftigelsesindsats, lov om digital indberetningsløsning til brug for anmeldelse af sygefravær samt anmodning om refusion af sygedagpenge og dagpenge efter barselloven, lov om sygedagpenge og barselloven. (Digital kommunikation om tilskudsordninger m.v.)."
19619,3. behandling,6235,"Forslag til lov om ændring af lov om virksomhedsansvarlige læger. (Krav om udpegning af virksomhedsansvarlige tandlæger, afvisning af virksomhedsansvarlige  læger eller tandlæger, fratagelse af retten til at virke som virksomhedsansvarlig læge eller tandlæge m.v.)."
6328,3. behandling,2021,"Forslag til lov om ændring af lov om planlægning. (Nye muligheder i landdistrikterne for erhverv og helårsboliger, ændring af regler om planlægning i kystområder og til butiksformål, ophævelse af tilvejebringelses- og tilslutningspligt til fællesantenneanlæg og opsætning af panelantenner og teknikskabe i landzone)."
18458,2. (sidste) behandling,5944,Forslag til folketingsbeslutning om ændring af au pair-ordningen.
5556,2. (sidste) behandling,1777,Forslag til folketingsbeslutning om ophævelse af varighedsbegrænsningen på sygedagpenge.
19487,2. (sidste) behandling,6194,Forslag til folketingsbeslutning om indførelse af nummerplader med dannebrog.
19643,3. behandling,6237,Forslag til lov om ændring af lov om autorisation af sundhedspersoner og om sundhedsfaglig virksomhed og sundhedsloven. (Midlertidig autorisationsfratagelse ved manglende medvirken ved tilsyn og mulighed for Sundhedsstyrelsen for at stille sundhedsmæssige krav til behandlingssteders virksomhed).
19656,3. behandling,6238,"Forslag til lov om ændring af lov om markedsføring af sundhedsydelser. (Saglighedskrav, påbud om ophør m.v.)."
